#      x          Cp  
     1.00000    0.12579
     0.98969    0.11615
     0.97656    0.10176
     0.96204    0.08454
     0.94616    0.06427
     0.92905    0.04106
     0.91089    0.01523
     0.89187   -0.01276
     0.87221   -0.04234
     0.85208   -0.07301
     0.83162   -0.10434
     0.81093   -0.13600
     0.79009   -0.16781
     0.76916   -0.19966
     0.74816   -0.23152
     0.72713   -0.26341
     0.70609   -0.29539
     0.68505   -0.32753
     0.66402   -0.35992
     0.64303   -0.39265
     0.62207   -0.42581
     0.60117   -0.45948
     0.58033   -0.49377
     0.55955   -0.52873
     0.53886   -0.56446
     0.51826   -0.60100
     0.49776   -0.63843
     0.47737   -0.67677
     0.45711   -0.71605
     0.43699   -0.75629
     0.41702   -0.79744
     0.39723   -0.83945
     0.37763   -0.88217
     0.35824   -0.92538
     0.33908   -0.96871
     0.32020   -1.01164
     0.30161   -1.05367
     0.28336   -1.09385
     0.26550   -1.13433
     0.24807   -1.19179
     0.23114   -1.32880
     0.21476   -1.62373
     0.19901   -1.65685
     0.18395   -1.68648
     0.16962   -1.71664
     0.15609   -1.74889
     0.14337   -1.78442
     0.13149   -1.82404
     0.12043   -1.86802
     0.11018   -1.91581
     0.10070   -1.96733
     0.09195   -2.02217
     0.08387   -2.07946
     0.07641   -2.13822
     0.06953   -2.19755
     0.06317   -2.25674
     0.05729   -2.31521
     0.05184   -2.37247
     0.04679   -2.42804
     0.04211   -2.48140
     0.03775   -2.53194
     0.03371   -2.57889
     0.02995   -2.62131
     0.02645   -2.65800
     0.02321   -2.68748
     0.02021   -2.70791
     0.01743   -2.71707
     0.01486   -2.71236
     0.01251   -2.69073
     0.01037   -2.64886
     0.00843   -2.58325
     0.00670   -2.49055
     0.00517   -2.36803
     0.00384   -2.21414
     0.00271   -2.02912
     0.00179   -1.81553
     0.00106   -1.57841
     0.00053   -1.32516
     0.00019   -1.06442
     0.00002   -0.80718
     0.00002   -0.56123
     0.00019   -0.32200
     0.00053   -0.09058
     0.00106    0.12662
     0.00179    0.32427
     0.00271    0.49778
     0.00384    0.64427
     0.00517    0.76296
     0.00670    0.85443
     0.00843    0.92100
     0.01037    0.96521
     0.01251    0.99051
     0.01486    0.99978
     0.01743    0.99612
     0.02021    0.98194
     0.02321    0.95970
     0.02645    0.93091
     0.02995    0.89741
     0.03371    0.86013
     0.03775    0.82023
     0.04211    0.77839
     0.04679    0.73526
     0.05184    0.69132
     0.05729    0.64695
     0.06317    0.60249
     0.06953    0.55818
     0.07641    0.51428
     0.08387    0.47099
     0.09195    0.42852
     0.10070    0.38707
     0.11018    0.34688
     0.12043    0.30816
     0.13149    0.27116
     0.14337    0.23611
     0.15609    0.20323
     0.16962    0.17273
     0.18395    0.14475
     0.19901    0.11940
     0.21476    0.09669
     0.23114    0.07661
     0.24807    0.05907
     0.26550    0.04396
     0.28336    0.03111
     0.30161    0.02037
     0.32020    0.01155
     0.33908    0.00449
     0.35824   -0.00098
     0.37763   -0.00503
     0.39723   -0.00779
     0.41702   -0.00941
     0.43699   -0.00999
     0.45711   -0.00965
     0.47737   -0.00847
     0.49776   -0.00653
     0.51826   -0.00388
     0.53886   -0.00059
     0.55955    0.00333
     0.58033    0.00786
     0.60117    0.01298
     0.62207    0.01871
     0.64303    0.02508
     0.66402    0.03211
     0.68505    0.03986
     0.70609    0.04833
     0.72713    0.05749
     0.74816    0.06722
     0.76916    0.07720
     0.79009    0.08691
     0.81093    0.09569
     0.83162    0.10313
     0.85208    0.10938
     0.87221    0.11443
     0.89187    0.11821
     0.91089    0.12090
     0.92905    0.12273
     0.94616    0.12394
     0.96204    0.12470
     0.97656    0.12517
     0.98969    0.12544
     1.00000    0.12579
