#      x          Cp  
     1.00000    0.13218
     0.99187    0.12005
     0.98074    0.10000
     0.96776    0.08006
     0.95330    0.06056
     0.93785    0.04241
     0.92186    0.02585
     0.90557    0.01083
     0.88914   -0.00288
     0.87263   -0.01566
     0.85609   -0.02811
     0.83952   -0.04119
     0.82294   -0.05609
     0.80635   -0.07457
     0.78976   -0.09858
     0.77315   -0.12828
     0.75655   -0.16265
     0.73994   -0.19442
     0.72333   -0.19994
     0.70672   -0.20588
     0.69011   -0.21207
     0.67350   -0.21849
     0.65690   -0.22516
     0.64030   -0.23209
     0.62371   -0.23932
     0.60712   -0.24687
     0.59055   -0.25477
     0.57398   -0.26305
     0.55743   -0.27173
     0.54089   -0.28081
     0.52436   -0.29032
     0.50785   -0.30026
     0.49136   -0.31063
     0.47489   -0.32143
     0.45844   -0.33265
     0.44201   -0.34428
     0.42562   -0.35633
     0.40925   -0.36879
     0.39291   -0.38167
     0.37661   -0.39498
     0.36035   -0.40874
     0.34413   -0.42299
     0.32796   -0.43778
     0.31184   -0.45320
     0.29578   -0.46935
     0.27979   -0.48641
     0.26388   -0.50459
     0.24806   -0.52422
     0.23237   -0.54570
     0.21684   -0.56954
     0.20154   -0.59638
     0.18661   -0.62647
     0.17212   -0.65741
     0.15811   -0.68662
     0.14460   -0.71155
     0.13157   -0.72967
     0.11906   -0.73873
     0.10706   -0.73678
     0.09561   -0.72232
     0.08476   -0.69439
     0.07456   -0.65275
     0.06508   -0.59793
     0.05639   -0.53127
     0.04853   -0.45475
     0.04151   -0.37066
     0.03531   -0.28121
     0.02989   -0.18823
     0.02516   -0.09306
     0.02106    0.00348
     0.01750    0.10098
     0.01440    0.19926
     0.01172    0.29826
     0.00939    0.39788
     0.00737    0.49782
     0.00563    0.59721
     0.00415    0.69490
     0.00291    0.78763
     0.00190    0.87219
     0.00110    0.94113
     0.00052    0.98711
     0.00016    0.99926
     0.00001    0.96883
     0.00006    0.88706
     0.00035    0.74346
     0.00091    0.54131
     0.00178    0.30867
     0.00294    0.08426
     0.00441   -0.09936
     0.00616   -0.23104
     0.00819   -0.31469
     0.01049   -0.36078
     0.01309   -0.37990
     0.01602   -0.38053
     0.01931   -0.36881
     0.02305   -0.34898
     0.02732   -0.32393
     0.03226   -0.29565
     0.03803   -0.26557
     0.04485   -0.23486
     0.05299   -0.20472
     0.06274   -0.17668
     0.07429   -0.15278
     0.08760   -0.13535
     0.10236   -0.12617
     0.11804   -0.12564
     0.13418   -0.13274
     0.15044   -0.14560
     0.16662   -0.16203
     0.18263   -0.17971
     0.19847   -0.19611
     0.21419   -0.20767
     0.22991   -0.21455
     0.24569   -0.21823
     0.26153   -0.21955
     0.27745   -0.21912
     0.29344   -0.21736
     0.30949   -0.21455
     0.32561   -0.21090
     0.34179   -0.20658
     0.35801   -0.20171
     0.37429   -0.19637
     0.39060   -0.19064
     0.40696   -0.18458
     0.42335   -0.17824
     0.43977   -0.17164
     0.45623   -0.16483
     0.47271   -0.15782
     0.48922   -0.15064
     0.50575   -0.14330
     0.52230   -0.13580
     0.53887   -0.12817
     0.55546   -0.12041
     0.57206   -0.11254
     0.58868   -0.10457
     0.60531   -0.09655
     0.62195   -0.08851
     0.63861   -0.08051
     0.65526   -0.07264
     0.67193   -0.06499
     0.68860   -0.05767
     0.70528   -0.05078
     0.72196   -0.04440
     0.73864   -0.03854
     0.75532   -0.03314
     0.77200   -0.02815
     0.78867   -0.02369
     0.80535   -0.01975
     0.82201   -0.01631
     0.83867   -0.01332
     0.85532   -0.01072
     0.87194   -0.00847
     0.88853   -0.00650
     0.90505   -0.00477
     0.92142   -0.00321
     0.93750   -0.00178
     0.95303   -0.00040
     0.96757    0.01247
     0.98062    0.06493
     0.99182    0.10503
     1.00000    0.13218
