#      x          Cp  
     1.00000    0.27085
     0.98969    0.24686
     0.97656    0.21390
     0.96204    0.18132
     0.94616    0.14945
     0.92905    0.11926
     0.91089    0.09125
     0.89187    0.06571
     0.87221    0.04270
     0.85208    0.02205
     0.83162    0.00310
     0.81093   -0.01618
     0.79009   -0.04089
     0.76916   -0.08120
     0.74816   -0.14926
     0.72713   -0.24331
     0.70609   -0.25064
     0.68505   -0.25772
     0.66402   -0.26480
     0.64303   -0.27214
     0.62207   -0.27995
     0.60117   -0.28841
     0.58033   -0.29772
     0.55955   -0.30802
     0.53886   -0.31933
     0.51826   -0.33171
     0.49776   -0.34532
     0.47737   -0.36021
     0.45711   -0.37629
     0.43699   -0.39335
     0.41702   -0.41111
     0.39723   -0.42933
     0.37763   -0.44774
     0.35824   -0.46614
     0.33908   -0.48434
     0.32020   -0.50217
     0.30161   -0.51945
     0.28336   -0.53601
     0.26550   -0.55168
     0.24807   -0.56627
     0.23114   -0.57957
     0.21476   -0.59138
     0.19901   -0.60149
     0.18395   -0.60971
     0.16962   -0.61585
     0.15609   -0.61978
     0.14337   -0.62137
     0.13149   -0.62053
     0.12043   -0.61721
     0.11018   -0.61138
     0.10070   -0.60301
     0.09195   -0.59206
     0.08387   -0.57849
     0.07641   -0.56224
     0.06953   -0.54322
     0.06317   -0.52131
     0.05729   -0.49634
     0.05184   -0.46813
     0.04679   -0.43643
     0.04211   -0.40096
     0.03775   -0.36141
     0.03371   -0.31742
     0.02995   -0.26860
     0.02645   -0.21456
     0.02321   -0.15488
     0.02021   -0.08920
     0.01743   -0.01722
     0.01486    0.06120
     0.01251    0.14600
     0.01037    0.23676
     0.00843    0.33259
     0.00670    0.43199
     0.00517    0.53280
     0.00384    0.63208
     0.00271    0.72631
     0.00179    0.81158
     0.00106    0.88409
     0.00053    0.94054
     0.00019    0.97875
     0.00002    0.99768
     0.00002    0.99768
     0.00019    0.97875
     0.00053    0.94054
     0.00106    0.88409
     0.00179    0.81158
     0.00271    0.72631
     0.00384    0.63208
     0.00517    0.53280
     0.00670    0.43199
     0.00843    0.33259
     0.01037    0.23676
     0.01251    0.14600
     0.01486    0.06120
     0.01743   -0.01722
     0.02021   -0.08920
     0.02321   -0.15488
     0.02645   -0.21456
     0.02995   -0.26860
     0.03371   -0.31742
     0.03775   -0.36141
     0.04211   -0.40096
     0.04679   -0.43643
     0.05184   -0.46813
     0.05729   -0.49634
     0.06317   -0.52131
     0.06953   -0.54322
     0.07641   -0.56224
     0.08387   -0.57849
     0.09195   -0.59206
     0.10070   -0.60301
     0.11018   -0.61138
     0.12043   -0.61721
     0.13149   -0.62053
     0.14337   -0.62137
     0.15609   -0.61978
     0.16962   -0.61585
     0.18395   -0.60971
     0.19901   -0.60149
     0.21476   -0.59138
     0.23114   -0.57957
     0.24807   -0.56627
     0.26550   -0.55168
     0.28336   -0.53601
     0.30161   -0.51945
     0.32020   -0.50217
     0.33908   -0.48434
     0.35824   -0.46614
     0.37763   -0.44774
     0.39723   -0.42933
     0.41702   -0.41111
     0.43699   -0.39335
     0.45711   -0.37629
     0.47737   -0.36021
     0.49776   -0.34532
     0.51826   -0.33171
     0.53886   -0.31933
     0.55955   -0.30802
     0.58033   -0.29772
     0.60117   -0.28841
     0.62207   -0.27995
     0.64303   -0.27214
     0.66402   -0.26480
     0.68505   -0.25772
     0.70609   -0.25064
     0.72713   -0.24331
     0.74816   -0.14926
     0.76916   -0.08120
     0.79009   -0.04089
     0.81093   -0.01618
     0.83162    0.00310
     0.85208    0.02205
     0.87221    0.04270
     0.89187    0.06571
     0.91089    0.09125
     0.92905    0.11926
     0.94616    0.14945
     0.96204    0.18132
     0.97656    0.21390
     0.98969    0.24686
     1.00000    0.27085
