#      x          Cp  
     1.00000   -0.05889
     0.99168   -0.05987
     0.98037   -0.06105
     0.96727   -0.06240
     0.95272   -0.06392
     0.93720   -0.06559
     0.92112   -0.06741
     0.90474   -0.06939
     0.88821   -0.07154
     0.87160   -0.07387
     0.85494   -0.07642
     0.83827   -0.07922
     0.82158   -0.08229
     0.80488   -0.08566
     0.78817   -0.08936
     0.77146   -0.09341
     0.75475   -0.09785
     0.73803   -0.10269
     0.72132   -0.10794
     0.70460   -0.11360
     0.68789   -0.11960
     0.67118   -0.12599
     0.65447   -0.13282
     0.63777   -0.14007
     0.62108   -0.14776
     0.60440   -0.15585
     0.58772   -0.16430
     0.57106   -0.17307
     0.55441   -0.18211
     0.53778   -0.19138
     0.52116   -0.20084
     0.50456   -0.21044
     0.48798   -0.22015
     0.47143   -0.22995
     0.45489   -0.23982
     0.43839   -0.24972
     0.42191   -0.25964
     0.40546   -0.26957
     0.38905   -0.27949
     0.37268   -0.28937
     0.35635   -0.29920
     0.34007   -0.30895
     0.32383   -0.31859
     0.30766   -0.32811
     0.29154   -0.33746
     0.27550   -0.34660
     0.25953   -0.35549
     0.24366   -0.36406
     0.22788   -0.37225
     0.21222   -0.37998
     0.19670   -0.38715
     0.18135   -0.39363
     0.16619   -0.39928
     0.15127   -0.40389
     0.13666   -0.40724
     0.12246   -0.40901
     0.10877   -0.40884
     0.09575   -0.40631
     0.08358   -0.40096
     0.07242   -0.39234
     0.06239   -0.38007
     0.05354   -0.36386
     0.04581   -0.34343
     0.03910   -0.31849
     0.03329   -0.28863
     0.02826   -0.25331
     0.02387   -0.21178
     0.02003   -0.16311
     0.01666   -0.10615
     0.01369   -0.03954
     0.01108    0.03818
     0.00879    0.12846
     0.00678    0.23236
     0.00505    0.34994
     0.00358    0.47927
     0.00236    0.61512
     0.00140    0.74805
     0.00070    0.86456
     0.00024    0.95033
     0.00003    0.99456
     0.00003    0.99456
     0.00024    0.95033
     0.00070    0.86456
     0.00140    0.74805
     0.00236    0.61512
     0.00358    0.47927
     0.00505    0.34994
     0.00678    0.23237
     0.00879    0.12846
     0.01108    0.03818
     0.01369   -0.03954
     0.01666   -0.10615
     0.02003   -0.16311
     0.02387   -0.21178
     0.02826   -0.25331
     0.03329   -0.28863
     0.03910   -0.31849
     0.04581   -0.34343
     0.05354   -0.36386
     0.06239   -0.38007
     0.07242   -0.39234
     0.08358   -0.40096
     0.09575   -0.40631
     0.10877   -0.40884
     0.12246   -0.40901
     0.13666   -0.40724
     0.15127   -0.40389
     0.16619   -0.39928
     0.18135   -0.39363
     0.19670   -0.38715
     0.21222   -0.37998
     0.22788   -0.37225
     0.24366   -0.36406
     0.25953   -0.35549
     0.27550   -0.34660
     0.29154   -0.33746
     0.30766   -0.32811
     0.32383   -0.31859
     0.34007   -0.30895
     0.35635   -0.29919
     0.37268   -0.28937
     0.38905   -0.27949
     0.40546   -0.26957
     0.42191   -0.25964
     0.43839   -0.24972
     0.45489   -0.23982
     0.47143   -0.22995
     0.48798   -0.22015
     0.50456   -0.21044
     0.52116   -0.20084
     0.53778   -0.19138
     0.55441   -0.18211
     0.57106   -0.17307
     0.58772   -0.16430
     0.60440   -0.15585
     0.62108   -0.14776
     0.63777   -0.14007
     0.65447   -0.13282
     0.67118   -0.12599
     0.68789   -0.11960
     0.70460   -0.11360
     0.72132   -0.10794
     0.73803   -0.10269
     0.75475   -0.09785
     0.77146   -0.09341
     0.78817   -0.08936
     0.80488   -0.08566
     0.82158   -0.08229
     0.83827   -0.07922
     0.85494   -0.07642
     0.87160   -0.07387
     0.88821   -0.07153
     0.90474   -0.06939
     0.92112   -0.06741
     0.93720   -0.06559
     0.95272   -0.06392
     0.96727   -0.06240
     0.98037   -0.06105
     0.99168   -0.05987
     1.00000   -0.05889
