#      x          Cp  
     1.00000    0.21765
     0.99187    0.19343
     0.98074    0.16029
     0.96776    0.12763
     0.95330    0.09663
     0.93785    0.06828
     0.92186    0.04269
     0.90557    0.01956
     0.88914   -0.00152
     0.87263   -0.02095
     0.85609   -0.03905
     0.83952   -0.05609
     0.82294   -0.07229
     0.80635   -0.08780
     0.78976   -0.10276
     0.77315   -0.11729
     0.75655   -0.13148
     0.73994   -0.14541
     0.72333   -0.15914
     0.70672   -0.17275
     0.69011   -0.18627
     0.67350   -0.19975
     0.65690   -0.21324
     0.64030   -0.22678
     0.62371   -0.24039
     0.60712   -0.25412
     0.59055   -0.26798
     0.57398   -0.28201
     0.55743   -0.29624
     0.54089   -0.31069
     0.52436   -0.32538
     0.50785   -0.34034
     0.49136   -0.35560
     0.47489   -0.37117
     0.45844   -0.38709
     0.44201   -0.40338
     0.42562   -0.42007
     0.40925   -0.43720
     0.39291   -0.45478
     0.37661   -0.47286
     0.36035   -0.49148
     0.34413   -0.51068
     0.32796   -0.53049
     0.31184   -0.55092
     0.29578   -0.57195
     0.27979   -0.59342
     0.26388   -0.61493
     0.24806   -0.63597
     0.23237   -0.65907
     0.21684   -0.70742
     0.20154   -0.77206
     0.18661   -0.80880
     0.17212   -0.85212
     0.15811   -0.89741
     0.14460   -0.94008
     0.13157   -0.97659
     0.11906   -1.00426
     0.10706   -1.02097
     0.09561   -1.02509
     0.08476   -1.01549
     0.07456   -0.99175
     0.06508   -0.95420
     0.05639   -0.90400
     0.04853   -0.84295
     0.04151   -0.77320
     0.03531   -0.69686
     0.02989   -0.61568
     0.02516   -0.53087
     0.02106   -0.44310
     0.01750   -0.35256
     0.01440   -0.25907
     0.01172   -0.16218
     0.00939   -0.06128
     0.00737    0.04432
     0.00563    0.15522
     0.00415    0.27168
     0.00291    0.39345
     0.00190    0.51890
     0.00110    0.64491
     0.00052    0.76516
     0.00016    0.87118
     0.00001    0.95089
     0.00006    0.99477
     0.00035    0.99124
     0.00091    0.92868
     0.00178    0.81171
     0.00294    0.66406
     0.00441    0.51470
     0.00616    0.38440
     0.00819    0.28065
     0.01049    0.20312
     0.01309    0.14756
     0.01602    0.10932
     0.01931    0.08424
     0.02305    0.06900
     0.02732    0.06105
     0.03226    0.05841
     0.03803    0.05951
     0.04485    0.06293
     0.05299    0.06727
     0.06274    0.07093
     0.07429    0.07203
     0.08760    0.06876
     0.10236    0.05990
     0.11804    0.04534
     0.13418    0.02588
     0.15044    0.00289
     0.16662   -0.02207
     0.18263   -0.04721
     0.19847   -0.07033
     0.21419   -0.08687
     0.22991   -0.09798
     0.24569   -0.10604
     0.26153   -0.11187
     0.27745   -0.11601
     0.29344   -0.11878
     0.30949   -0.12043
     0.32561   -0.12115
     0.34179   -0.12108
     0.35801   -0.12033
     0.37429   -0.11901
     0.39060   -0.11718
     0.40696   -0.11493
     0.42335   -0.11231
     0.43977   -0.10937
     0.45623   -0.10615
     0.47271   -0.10269
     0.48922   -0.09901
     0.50575   -0.09515
     0.52230   -0.09113
     0.53887   -0.08696
     0.55546   -0.08267
     0.57206   -0.07827
     0.58868   -0.07377
     0.60531   -0.06920
     0.62195   -0.06455
     0.63861   -0.05987
     0.65526   -0.05520
     0.67193   -0.05061
     0.68860   -0.04629
     0.70528   -0.04273
     0.72196   -0.04151
     0.73864   -0.02576
     0.75532   -0.00736
     0.77200   -0.00144
     0.78867    0.00280
     0.80535    0.00787
     0.82201    0.01405
     0.83867    0.02127
     0.85532    0.02951
     0.87194    0.03882
     0.88853    0.04936
     0.90505    0.06134
     0.92142    0.07513
     0.93750    0.09119
     0.95303    0.11011
     0.96757    0.13264
     0.98062    0.15927
     0.99182    0.19321
     1.00000    0.21765
