#      x          Cp  
     1.00000    0.17694
     0.99187    0.16567
     0.98074    0.14877
     0.96776    0.12774
     0.95330    0.10310
     0.93785    0.07591
     0.92186    0.04726
     0.90557    0.01799
     0.88914   -0.01134
     0.87263   -0.04042
     0.85609   -0.06908
     0.83952   -0.09727
     0.82294   -0.12498
     0.80635   -0.15227
     0.78976   -0.17921
     0.77315   -0.20586
     0.75655   -0.23231
     0.73994   -0.25866
     0.72333   -0.28498
     0.70672   -0.31136
     0.69011   -0.33789
     0.67350   -0.36463
     0.65690   -0.39167
     0.64030   -0.41909
     0.62371   -0.44696
     0.60712   -0.47535
     0.59055   -0.50435
     0.57398   -0.53402
     0.55743   -0.56446
     0.54089   -0.59574
     0.52436   -0.62796
     0.50785   -0.66120
     0.49136   -0.69557
     0.47489   -0.73117
     0.45844   -0.76813
     0.44201   -0.80657
     0.42562   -0.84665
     0.40925   -0.88852
     0.39291   -0.93237
     0.37661   -0.97843
     0.36035   -1.02694
     0.34413   -1.07819
     0.32796   -1.13254
     0.31184   -1.19041
     0.29578   -1.25234
     0.27979   -1.31897
     0.26388   -1.39114
     0.24806   -1.46996
     0.23237   -1.55698
     0.21684   -1.65436
     0.20154   -1.76669
     0.18661   -1.90075
     0.17212   -2.04837
     0.15811   -2.20443
     0.14460   -2.36547
     0.13157   -2.52854
     0.11906   -2.69101
     0.10706   -2.85052
     0.09561   -3.00500
     0.08476   -3.15278
     0.07456   -3.29268
     0.06508   -3.42397
     0.05639   -3.54600
     0.04853   -3.65748
     0.04151   -3.75833
     0.03531   -3.86010
     0.02989   -4.05740
     0.02516   -4.19308
     0.02106   -4.30245
     0.01750   -4.42443
     0.01440   -4.55417
     0.01172   -4.68999
     0.00939   -4.83052
     0.00737   -4.97354
     0.00563   -5.11517
     0.00415   -5.24898
     0.00291   -5.36475
     0.00190   -5.44724
     0.00110   -5.47519
     0.00052   -5.42199
     0.00016   -5.25922
     0.00001   -4.97301
     0.00006   -4.57183
     0.00035   -3.99848
     0.00091   -3.24142
     0.00178   -2.37178
     0.00294   -1.51198
     0.00441   -0.76897
     0.00616   -0.18918
     0.00819    0.23250
     0.01049    0.52584
     0.01309    0.72274
     0.01602    0.85094
     0.01931    0.93023
     0.02305    0.97540
     0.02732    0.99615
     0.03226    0.99946
     0.03803    0.98992
     0.04485    0.97077
     0.05299    0.94414
     0.06274    0.91189
     0.07429    0.87539
     0.08760    0.83635
     0.10236    0.79606
     0.11804    0.75568
     0.13418    0.71574
     0.15044    0.67656
     0.16662    0.63838
     0.18263    0.60154
     0.19847    0.56668
     0.21419    0.53577
     0.22991    0.50839
     0.24569    0.48344
     0.26153    0.46053
     0.27745    0.43943
     0.29344    0.41993
     0.30949    0.40187
     0.32561    0.38511
     0.34179    0.36955
     0.35801    0.35506
     0.37429    0.34156
     0.39060    0.32896
     0.40696    0.31717
     0.42335    0.30614
     0.43977    0.29578
     0.45623    0.28606
     0.47271    0.27691
     0.48922    0.26828
     0.50575    0.26014
     0.52230    0.25244
     0.53887    0.24514
     0.55546    0.23822
     0.57206    0.23165
     0.58868    0.22540
     0.60531    0.21945
     0.62195    0.21378
     0.63861    0.20837
     0.65526    0.20320
     0.67193    0.19827
     0.68860    0.19357
     0.70528    0.18909
     0.72196    0.18483
     0.73864    0.18079
     0.75532    0.17696
     0.77200    0.17337
     0.78867    0.17003
     0.80535    0.16694
     0.82201    0.16415
     0.83867    0.16167
     0.85532    0.15956
     0.87194    0.15789
     0.88853    0.15673
     0.90505    0.15620
     0.92142    0.15647
     0.93750    0.15777
     0.95303    0.16037
     0.96757    0.16462
     0.98062    0.17027
     0.99182    0.17849
     1.00000    0.17694
