#      x          Cp  
     1.00000   -0.28716
     0.99187   -0.28975
     0.98074   -0.29334
     0.96776   -0.29759
     0.95330   -0.30243
     0.93785   -0.30772
     0.92186   -0.31335
     0.90557   -0.31923
     0.88914   -0.32534
     0.87263   -0.33167
     0.85609   -0.33820
     0.83952   -0.34495
     0.82294   -0.35194
     0.80635   -0.35917
     0.78976   -0.36666
     0.77315   -0.37442
     0.75655   -0.38248
     0.73994   -0.39086
     0.72333   -0.39957
     0.70672   -0.40865
     0.69011   -0.41813
     0.67350   -0.42803
     0.65690   -0.43839
     0.64030   -0.44926
     0.62371   -0.46069
     0.60712   -0.47273
     0.59055   -0.48544
     0.57398   -0.49891
     0.55743   -0.51323
     0.54089   -0.52851
     0.52436   -0.54489
     0.50785   -0.56254
     0.49136   -0.58168
     0.47489   -0.60262
     0.45844   -0.62577
     0.44201   -0.65173
     0.42562   -0.68151
     0.40925   -0.71746
     0.39291   -0.76327
     0.37661   -0.84582
     0.36035   -0.84721
     0.34413   -0.84817
     0.32796   -0.84908
     0.31184   -0.84996
     0.29578   -0.85079
     0.27979   -0.85157
     0.26388   -0.85228
     0.24806   -0.85292
     0.23237   -0.85345
     0.21684   -0.85387
     0.20154   -0.85414
     0.18661   -0.85423
     0.17212   -0.85420
     0.15811   -0.85412
     0.14460   -0.85416
     0.13157   -0.85456
     0.11906   -0.85576
     0.10706   -0.85853
     0.09561   -0.86418
     0.08476   -0.87483
     0.07456   -0.89375
     0.06508   -0.92536
     0.05639   -0.97259
     0.04853   -1.03368
     0.04151   -1.10289
     0.03531   -1.16876
     0.02989   -1.22448
     0.02516   -1.26845
     0.02106   -1.30142
     0.01750   -1.32461
     0.01440   -1.33890
     0.01172   -1.34454
     0.00939   -1.34108
     0.00737   -1.32732
     0.00563   -1.30116
     0.00415   -1.25959
     0.00291   -1.19851
     0.00190   -1.11291
     0.00110   -0.99722
     0.00052   -0.84673
     0.00016   -0.65938
     0.00001   -0.44196
     0.00006   -0.19919
     0.00035    0.07402
     0.00091    0.35499
     0.00178    0.60931
     0.00294    0.80230
     0.00441    0.92531
     0.00616    0.98439
     0.00819    0.99997
     0.01049    0.98705
     0.01309    0.95867
     0.01602    0.92197
     0.01931    0.88190
     0.02305    0.84092
     0.02732    0.80041
     0.03226    0.76090
     0.03803    0.72250
     0.04485    0.68506
     0.05299    0.64825
     0.06274    0.61166
     0.07429    0.57490
     0.08760    0.53769
     0.10236    0.49993
     0.11804    0.46168
     0.13418    0.42309
     0.15044    0.38447
     0.16662    0.34629
     0.18263    0.30927
     0.19847    0.27447
     0.21419    0.24378
     0.22991    0.21726
     0.24569    0.19394
     0.26153    0.17310
     0.27745    0.15426
     0.29344    0.13708
     0.30949    0.12131
     0.32561    0.10678
     0.34179    0.09332
     0.35801    0.08081
     0.37429    0.06914
     0.39060    0.05822
     0.40696    0.04795
     0.42335    0.03828
     0.43977    0.02912
     0.45623    0.02041
     0.47271    0.01211
     0.48922    0.00415
     0.50575   -0.00350
     0.52230   -0.01089
     0.53887   -0.01806
     0.55546   -0.02504
     0.57206   -0.03187
     0.58868   -0.03859
     0.60531   -0.04521
     0.62195   -0.05177
     0.63861   -0.05829
     0.65526   -0.06481
     0.67193   -0.07134
     0.68860   -0.07791
     0.70528   -0.08454
     0.72196   -0.09127
     0.73864   -0.09811
     0.75532   -0.10509
     0.77200   -0.11225
     0.78867   -0.11961
     0.80535   -0.12722
     0.82201   -0.13511
     0.83867   -0.14334
     0.85532   -0.15196
     0.87194   -0.16107
     0.88853   -0.17074
     0.90505   -0.18110
     0.92142   -0.19229
     0.93750   -0.20445
     0.95303   -0.21770
     0.96757   -0.23201
     0.98062   -0.24755
     0.99182   -0.26298
     1.00000   -0.28716
