#      x          Cp  
     1.00000    0.17227
     0.99187    0.15478
     0.98074    0.13016
     0.96776    0.10435
     0.95330    0.07851
     0.93785    0.05382
     0.92186    0.03077
     0.90557    0.00942
     0.88914   -0.01037
     0.87263   -0.02883
     0.85609   -0.04618
     0.83952   -0.06261
     0.82294   -0.07829
     0.80635   -0.09336
     0.78976   -0.10793
     0.77315   -0.12211
     0.75655   -0.13596
     0.73994   -0.14956
     0.72333   -0.16297
     0.70672   -0.17625
     0.69011   -0.18943
     0.67350   -0.20256
     0.65690   -0.21567
     0.64030   -0.22878
     0.62371   -0.24193
     0.60712   -0.25513
     0.59055   -0.26839
     0.57398   -0.28172
     0.55743   -0.29511
     0.54089   -0.30856
     0.52436   -0.32205
     0.50785   -0.33552
     0.49136   -0.34890
     0.47489   -0.36210
     0.45844   -0.37498
     0.44201   -0.38744
     0.42562   -0.39964
     0.40925   -0.41317
     0.39291   -0.43387
     0.37661   -0.47372
     0.36035   -0.53169
     0.34413   -0.55547
     0.32796   -0.57064
     0.31184   -0.58826
     0.29578   -0.60772
     0.27979   -0.62894
     0.26388   -0.65210
     0.24806   -0.67745
     0.23237   -0.70539
     0.21684   -0.73640
     0.20154   -0.77119
     0.18661   -0.81064
     0.17212   -0.85384
     0.15811   -0.89815
     0.14460   -0.94015
     0.13157   -0.97652
     0.11906   -1.00445
     0.10706   -1.02166
     0.09561   -1.02641
     0.08476   -1.01752
     0.07456   -0.99452
     0.06508   -0.95771
     0.05639   -0.90824
     0.04853   -0.84787
     0.04151   -0.77875
     0.03531   -0.70298
     0.02989   -0.62229
     0.02516   -0.53791
     0.02106   -0.45050
     0.01750   -0.36024
     0.01440   -0.26698
     0.01172   -0.17024
     0.00939   -0.06942
     0.00737    0.03616
     0.00563    0.14710
     0.00415    0.26371
     0.00291    0.38570
     0.00190    0.51149
     0.00110    0.63807
     0.00052    0.75903
     0.00016    0.86625
     0.00001    0.94744
     0.00006    0.99350
     0.00035    0.99286
     0.00091    0.93392
     0.00178    0.82062
     0.00294    0.67622
     0.00441    0.52883
     0.00616    0.39947
     0.00819    0.29563
     0.01049    0.21738
     0.01309    0.16073
     0.01602    0.12120
     0.01931    0.09474
     0.02305    0.07812
     0.02732    0.06881
     0.03226    0.06487
     0.03803    0.06475
     0.04485    0.06709
     0.05299    0.07050
     0.06274    0.07346
     0.07429    0.07415
     0.08760    0.07078
     0.10236    0.06210
     0.11804    0.04792
     0.13418    0.02897
     0.15044    0.00655
     0.16662   -0.01779
     0.18263   -0.04229
     0.19847   -0.06483
     0.21419   -0.08172
     0.22991   -0.09348
     0.24569   -0.10197
     0.26153   -0.10806
     0.27745   -0.11236
     0.29344   -0.11523
     0.30949   -0.11695
     0.32561   -0.11771
     0.34179   -0.11767
     0.35801   -0.11694
     0.37429   -0.11562
     0.39060   -0.11379
     0.40696   -0.11152
     0.42335   -0.10887
     0.43977   -0.10587
     0.45623   -0.10258
     0.47271   -0.09903
     0.48922   -0.09524
     0.50575   -0.09124
     0.52230   -0.08705
     0.53887   -0.08267
     0.55546   -0.07813
     0.57206   -0.07343
     0.58868   -0.06856
     0.60531   -0.06354
     0.62195   -0.05834
     0.63861   -0.05297
     0.65526   -0.04741
     0.67193   -0.04166
     0.68860   -0.03568
     0.70528   -0.02948
     0.72196   -0.02303
     0.73864   -0.01636
     0.75532   -0.00947
     0.77200   -0.00244
     0.78867    0.00461
     0.80535    0.01150
     0.82201    0.01803
     0.83867    0.02397
     0.85532    0.02924
     0.87194    0.03395
     0.88853    0.03814
     0.90505    0.04170
     0.92142    0.04466
     0.93750    0.04711
     0.95303    0.04918
     0.96757    0.05101
     0.98062    0.07105
     0.99182    0.13042
     1.00000    0.17227
