#      x          Cp  
     1.00000    0.20491
     0.99187    0.18492
     0.98074    0.15667
     0.96776    0.12529
     0.95330    0.09240
     0.93785    0.05978
     0.92186    0.02846
     0.90557   -0.00115
     0.88914   -0.02908
     0.87263   -0.05550
     0.85609   -0.08064
     0.83952   -0.10472
     0.82294   -0.12796
     0.80635   -0.15051
     0.78976   -0.17254
     0.77315   -0.19418
     0.75655   -0.21553
     0.73994   -0.23669
     0.72333   -0.25777
     0.70672   -0.27882
     0.69011   -0.29994
     0.67350   -0.32118
     0.65690   -0.34262
     0.64030   -0.36430
     0.62371   -0.38630
     0.60712   -0.40866
     0.59055   -0.43145
     0.57398   -0.45471
     0.55743   -0.47851
     0.54089   -0.50290
     0.52436   -0.52795
     0.50785   -0.55372
     0.49136   -0.58027
     0.47489   -0.60768
     0.45844   -0.63602
     0.44201   -0.66539
     0.42562   -0.69588
     0.40925   -0.72759
     0.39291   -0.76064
     0.37661   -0.79518
     0.36035   -0.83137
     0.34413   -0.86939
     0.32796   -0.90948
     0.31184   -0.95192
     0.29578   -0.99706
     0.27979   -1.04532
     0.26388   -1.09727
     0.24806   -1.15369
     0.23237   -1.21564
     0.21684   -1.28470
     0.20154   -1.36466
     0.18661   -1.46137
     0.17212   -1.56550
     0.15811   -1.67061
     0.14460   -1.77204
     0.13157   -1.87099
     0.11906   -2.05188
     0.10706   -2.12723
     0.09561   -2.20180
     0.08476   -2.27362
     0.07456   -2.33664
     0.06508   -2.38893
     0.05639   -2.43053
     0.04853   -2.46263
     0.04151   -2.48701
     0.03531   -2.50558
     0.02989   -2.52012
     0.02516   -2.53193
     0.02106   -2.54180
     0.01750   -2.55002
     0.01440   -2.55630
     0.01172   -2.55977
     0.00939   -2.55889
     0.00737   -2.55127
     0.00563   -2.53346
     0.00415   -2.50057
     0.00291   -2.44598
     0.00190   -2.36110
     0.00110   -2.23566
     0.00052   -2.05927
     0.00016   -1.82332
     0.00001   -1.53157
     0.00006   -1.19531
     0.00035   -0.79627
     0.00091   -0.35569
     0.00178    0.07482
     0.00294    0.43649
     0.00441    0.69964
     0.00616    0.86556
     0.00819    0.95602
     0.01049    0.99402
     0.01309    0.99882
     0.01602    0.98341
     0.01931    0.95637
     0.02305    0.92272
     0.02732    0.88585
     0.03226    0.84723
     0.03803    0.80816
     0.04485    0.76883
     0.05299    0.72956
     0.06274    0.69024
     0.07429    0.65092
     0.08760    0.61159
     0.10236    0.57238
     0.11804    0.53339
     0.13418    0.49473
     0.15044    0.45659
     0.16662    0.41932
     0.18263    0.38352
     0.19847    0.35018
     0.21419    0.32212
     0.22991    0.29860
     0.24569    0.27797
     0.26153    0.25967
     0.27745    0.24333
     0.29344    0.22866
     0.30949    0.21547
     0.32561    0.20358
     0.34179    0.19286
     0.35801    0.18317
     0.37429    0.17440
     0.39060    0.16648
     0.40696    0.15930
     0.42335    0.15280
     0.43977    0.14691
     0.45623    0.14158
     0.47271    0.13675
     0.48922    0.13238
     0.50575    0.12843
     0.52230    0.12486
     0.53887    0.12164
     0.55546    0.11875
     0.57206    0.11615
     0.58868    0.11384
     0.60531    0.11179
     0.62195    0.11000
     0.63861    0.10844
     0.65526    0.10712
     0.67193    0.10604
     0.68860    0.10518
     0.70528    0.10457
     0.72196    0.10420
     0.73864    0.10409
     0.75532    0.10425
     0.77200    0.10473
     0.78867    0.10555
     0.80535    0.10675
     0.82201    0.10840
     0.83867    0.11057
     0.85532    0.11338
     0.87194    0.11694
     0.88853    0.12147
     0.90505    0.12719
     0.92142    0.13435
     0.93750    0.14295
     0.95303    0.15195
     0.96757    0.15877
     0.98062    0.16273
     0.99182    0.16527
     1.00000    0.20491
