#      x          Cp  
     1.00000    0.00156
     0.99187   -0.00237
     0.98074   -0.00795
     0.96776   -0.01468
     0.95330   -0.02246
     0.93785   -0.03111
     0.92186   -0.04044
     0.90557   -0.05032
     0.88914   -0.06070
     0.87263   -0.07154
     0.85609   -0.08284
     0.83952   -0.09460
     0.82294   -0.10683
     0.80635   -0.11954
     0.78976   -0.13277
     0.77315   -0.14652
     0.75655   -0.16085
     0.73994   -0.17578
     0.72333   -0.19137
     0.70672   -0.20767
     0.69011   -0.22474
     0.67350   -0.24267
     0.65690   -0.26157
     0.64030   -0.28155
     0.62371   -0.30277
     0.60712   -0.32539
     0.59055   -0.34963
     0.57398   -0.37575
     0.55743   -0.40406
     0.54089   -0.43494
     0.52436   -0.46924
     0.50785   -0.50827
     0.49136   -0.55076
     0.47489   -0.59628
     0.45844   -0.64509
     0.44201   -0.69789
     0.42562   -0.75600
     0.40925   -0.82107
     0.39291   -0.89475
     0.37661   -0.98094
     0.36035   -1.08917
     0.34413   -1.17432
     0.32796   -1.17768
     0.31184   -1.18079
     0.29578   -1.18375
     0.27979   -1.18663
     0.26388   -1.18949
     0.24806   -1.19240
     0.23237   -1.19544
     0.21684   -1.19876
     0.20154   -1.20253
     0.18661   -1.20708
     0.17212   -1.21309
     0.15811   -1.22164
     0.14460   -1.23436
     0.13157   -1.25374
     0.11906   -1.28332
     0.10706   -1.32665
     0.09561   -1.38381
     0.08476   -1.45404
     0.07456   -1.52747
     0.06508   -1.59298
     0.05639   -1.64472
     0.04853   -1.68162
     0.04151   -1.70509
     0.03531   -1.71742
     0.02989   -1.72085
     0.02516   -1.71717
     0.02106   -1.70752
     0.01750   -1.69243
     0.01440   -1.67183
     0.01172   -1.64506
     0.00939   -1.61086
     0.00737   -1.56733
     0.00563   -1.51180
     0.00415   -1.44075
     0.00291   -1.34975
     0.00190   -1.23359
     0.00110   -1.08681
     0.00052   -0.90525
     0.00016   -0.68785
     0.00001   -0.44331
     0.00006   -0.17767
     0.00035    0.11320
     0.00091    0.40320
     0.00178    0.65701
     0.00294    0.84096
     0.00441    0.95039
     0.00616    0.99484
     0.00819    0.99665
     0.01049    0.97198
     0.01309    0.93468
     0.01602    0.89061
     0.01931    0.84547
     0.02305    0.80058
     0.02732    0.75747
     0.03226    0.71635
     0.03803    0.67719
     0.04485    0.63972
     0.05299    0.60351
     0.06274    0.56807
     0.07429    0.53293
     0.08760    0.49768
     0.10236    0.46211
     0.11804    0.42617
     0.13418    0.38997
     0.15044    0.35383
     0.16662    0.31822
     0.18263    0.28390
     0.19847    0.25195
     0.21419    0.22426
     0.22991    0.20084
     0.24569    0.18071
     0.26153    0.16316
     0.27745    0.14767
     0.29344    0.13390
     0.30949    0.12158
     0.32561    0.11052
     0.34179    0.10056
     0.35801    0.09157
     0.37429    0.08344
     0.39060    0.07608
     0.40696    0.06940
     0.42335    0.06332
     0.43977    0.05779
     0.45623    0.05275
     0.47271    0.04814
     0.48922    0.04391
     0.50575    0.04004
     0.52230    0.03648
     0.53887    0.03320
     0.55546    0.03017
     0.57206    0.02737
     0.58868    0.02477
     0.60531    0.02236
     0.62195    0.02011
     0.63861    0.01801
     0.65526    0.01605
     0.67193    0.01422
     0.68860    0.01251
     0.70528    0.01091
     0.72196    0.00942
     0.73864    0.00803
     0.75532    0.00675
     0.77200    0.00557
     0.78867    0.00450
     0.80535    0.00355
     0.82201    0.00271
     0.83867    0.00200
     0.85532    0.00142
     0.87194    0.00099
     0.88853    0.00073
     0.90505    0.00064
     0.92142    0.00073
     0.93750    0.00102
     0.95303    0.00149
     0.96757    0.00211
     0.98062    0.00271
     0.99182    0.00348
     1.00000    0.00156
