#      x          Cp  
     1.00000    0.15309
     0.99187    0.14139
     0.98074    0.12421
     0.96776    0.10370
     0.95330    0.08057
     0.93785    0.05587
     0.92186    0.03054
     0.90557    0.00522
     0.88914   -0.01974
     0.87263   -0.04418
     0.85609   -0.06803
     0.83952   -0.09132
     0.82294   -0.11409
     0.80635   -0.13640
     0.78976   -0.15832
     0.77315   -0.17994
     0.75655   -0.20132
     0.73994   -0.22254
     0.72333   -0.24367
     0.70672   -0.26478
     0.69011   -0.28593
     0.67350   -0.30719
     0.65690   -0.32861
     0.64030   -0.35025
     0.62371   -0.37217
     0.60712   -0.39442
     0.59055   -0.41705
     0.57398   -0.44012
     0.55743   -0.46369
     0.54089   -0.48780
     0.52436   -0.51251
     0.50785   -0.53788
     0.49136   -0.56397
     0.47489   -0.59085
     0.45844   -0.61858
     0.44201   -0.64724
     0.42562   -0.67690
     0.40925   -0.70765
     0.39291   -0.73957
     0.37661   -0.77277
     0.36035   -0.80735
     0.34413   -0.84342
     0.32796   -0.88108
     0.31184   -0.92044
     0.29578   -0.96154
     0.27979   -1.00435
     0.26388   -1.04867
     0.24806   -1.09398
     0.23237   -1.13989
     0.21684   -1.19013
     0.20154   -1.28210
     0.18661   -1.56365
     0.17212   -1.80733
     0.15811   -1.83626
     0.14460   -1.86808
     0.13157   -1.90989
     0.11906   -1.96606
     0.10706   -2.03790
     0.09561   -2.11930
     0.08476   -2.19723
     0.07456   -2.26468
     0.06508   -2.31973
     0.05639   -2.36282
     0.04853   -2.39546
     0.04151   -2.41965
     0.03531   -2.43745
     0.02989   -2.45067
     0.02516   -2.46065
     0.02106   -2.46818
     0.01750   -2.47350
     0.01440   -2.47631
     0.01172   -2.47570
     0.00939   -2.47011
     0.00737   -2.45718
     0.00563   -2.43349
     0.00415   -2.39433
     0.00291   -2.33332
     0.00190   -2.24233
     0.00110   -2.11173
     0.00052   -1.93194
     0.00016   -1.69552
     0.00001   -1.40819
     0.00006   -1.07790
     0.00035   -0.68892
     0.00091   -0.26420
     0.00178    0.14697
     0.00294    0.48833
     0.00441    0.73418
     0.00616    0.88603
     0.00819    0.96647
     0.01049    0.99712
     0.01309    0.99689
     0.01602    0.97791
     0.01931    0.94865
     0.02305    0.91327
     0.02732    0.87549
     0.03226    0.83617
     0.03803    0.79678
     0.04485    0.75731
     0.05299    0.71805
     0.06274    0.67885
     0.07429    0.63969
     0.08760    0.60057
     0.10236    0.56156
     0.11804    0.52276
     0.13418    0.48429
     0.15044    0.44633
     0.16662    0.40924
     0.18263    0.37364
     0.19847    0.34052
     0.21419    0.31230
     0.22991    0.28857
     0.24569    0.26791
     0.26153    0.24964
     0.27745    0.23333
     0.29344    0.21870
     0.30949    0.20555
     0.32561    0.19371
     0.34179    0.18301
     0.35801    0.17335
     0.37429    0.16461
     0.39060    0.15670
     0.40696    0.14954
     0.42335    0.14304
     0.43977    0.13716
     0.45623    0.13182
     0.47271    0.12699
     0.48922    0.12260
     0.50575    0.11863
     0.52230    0.11504
     0.53887    0.11179
     0.55546    0.10886
     0.57206    0.10623
     0.58868    0.10387
     0.60531    0.10177
     0.62195    0.09992
     0.63861    0.09830
     0.65526    0.09690
     0.67193    0.09574
     0.68860    0.09480
     0.70528    0.09408
     0.72196    0.09361
     0.73864    0.09338
     0.75532    0.09342
     0.77200    0.09375
     0.78867    0.09440
     0.80535    0.09541
     0.82201    0.09683
     0.83867    0.09872
     0.85532    0.10115
     0.87194    0.10423
     0.88853    0.10806
     0.90505    0.11274
     0.92142    0.11835
     0.93750    0.12487
     0.95303    0.13200
     0.96757    0.13914
     0.98062    0.14539
     0.99182    0.15029
     1.00000    0.15309
